"dataset","backend","graph_mode","knn_recall_at_k","affinity_edge_jaccard","affinity_weight_pearson","affinity_weight_spearman","affinity_weight_l1_similarity","umap_graph_edge_jaccard","umap_graph_weight_pearson","umap_graph_weight_spearman","umap_graph_weight_l1_similarity","validation_sample_n","suite","profile","source_file"
"MetRef","cpu","fuzzy",0.999503627338679,0.998766837412256,0.996702095586042,0.999999037634426,0.999504451140095,0.998766837412256,0.999931726447371,0.999990908731033,0.999746504404999,873,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/MetRef/standard/cpu1/20260727_073247_1118050/knn_affinity_umap_graph_agreement.csv"
"MetRef","cpu","binary",0.999503627338679,0.998766837412256,0.996702095586042,0.999999037634426,0.999504451140095,0.998766837412256,-0.000616961700915951,,0.999383038299084,873,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/MetRef/standard/cpu1/20260727_073247_1118050/knn_affinity_umap_graph_agreement.csv"
"MetRef","cpu","fuzzy",0.999503627338679,0.998766837412256,0.996702095586042,0.999999037634426,0.999504451140095,0.998766837412256,0.999931726447371,0.999990908731033,0.999746504404999,873,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/MetRef/standard/cpu4/20260727_073247_1118061/knn_affinity_umap_graph_agreement.csv"
"MetRef","cpu","binary",0.999503627338679,0.998766837412256,0.996702095586042,0.999999037634426,0.999504451140095,0.998766837412256,-0.000616961700915951,,0.999383038299084,873,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/MetRef/standard/cpu4/20260727_073247_1118061/knn_affinity_umap_graph_agreement.csv"
"MetRef","cuda","fuzzy",1,1,1,0.999999999926885,0.999999998961253,1,0.999999999998932,0.999990182887465,0.999999516364928,873,"standard","cuda","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/MetRef/standard/cuda/20260727_091133_1118072/knn_affinity_umap_graph_agreement.csv"
"MetRef","cuda","binary",1,1,1,0.999999999926885,0.999999998961253,1,,,1,873,"standard","cuda","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/MetRef/standard/cuda/20260727_091133_1118072/knn_affinity_umap_graph_agreement.csv"
"TabulaMuris","cpu","fuzzy",0.999966666666667,0.999897920122496,0.999797710545833,0.999999991902225,0.999966738111742,0.999897546232263,0.999998149455852,0.999990128560883,0.999987316641497,2000,"landmark","cpu1","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/TabulaMuris/landmark/cpu1/20260727_080829_1118088/knn_affinity_umap_graph_agreement.csv"
"TabulaMuris","cpu","binary",0.999966666666667,0.999897920122496,0.999797710545833,0.999999991902225,0.999966738111742,0.999897920122496,-5.1042543960391e-05,,0.99994895745604,2000,"landmark","cpu1","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/TabulaMuris/landmark/cpu1/20260727_080829_1118088/knn_affinity_umap_graph_agreement.csv"
"TabulaMuris","cpu","fuzzy",0.999966666666667,0.999897920122496,0.999797710545833,0.999999991902225,0.999966738111742,0.999897546232263,0.999998149455852,0.999990128560883,0.999987316641497,2000,"landmark","cpu4","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/TabulaMuris/landmark/cpu4/20260727_074705_1118099/knn_affinity_umap_graph_agreement.csv"
"TabulaMuris","cpu","binary",0.999966666666667,0.999897920122496,0.999797710545833,0.999999991902225,0.999966738111742,0.999897920122496,-5.1042543960391e-05,,0.99994895745604,2000,"landmark","cpu4","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/TabulaMuris/landmark/cpu4/20260727_074705_1118099/knn_affinity_umap_graph_agreement.csv"
"TabulaMuris","cuda","fuzzy",1,1,0.999999999999994,0.999999999743775,0.999999991826941,1,0.999999999892679,0.999978290147732,0.99999685197225,2000,"landmark","cuda","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/TabulaMuris/landmark/cuda/20260727_094617_1118110/knn_affinity_umap_graph_agreement.csv"
"TabulaMuris","cuda","binary",1,1,0.999999999999994,0.999999999743775,0.999999991826941,1,,,1,2000,"landmark","cuda","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/TabulaMuris/landmark/cuda/20260727_094617_1118110/knn_affinity_umap_graph_agreement.csv"
"TabulaMuris","cpu","fuzzy",0.999966666666667,0.999897920122496,0.999797710545833,0.999999991902225,0.999966738111742,0.999897546232263,0.999998149455852,0.999990128560883,0.999987316641497,2000,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/TabulaMuris/standard/cpu1/20260727_073247_1118052/knn_affinity_umap_graph_agreement.csv"
"TabulaMuris","cpu","binary",0.999966666666667,0.999897920122496,0.999797710545833,0.999999991902225,0.999966738111742,0.999897920122496,-5.1042543960391e-05,,0.99994895745604,2000,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/TabulaMuris/standard/cpu1/20260727_073247_1118052/knn_affinity_umap_graph_agreement.csv"
