"dataset","dataset_label","method","display_label","family","backend","profile","timing_interface","timing_scope","runtime_measure","n_runs","runtime","runtime_q1","runtime_q3"
"MNIST","MNIST","rapids_cuml_umap_full","RAPIDS cuML UMAP via R (total call) [CUDA]","UMAP","cuda","cuda","R/reticulate","r_mediated_total_call","r_mediated_total_call_sec",3,4.099,4.0905,4.1205
"MNIST","MNIST","rapids_cuml_umap_full_direct","RAPIDS cuML UMAP direct (fit only) [CUDA]","UMAP","cuda","cuda","direct Python","direct_python_fit","direct_python_fit_sec",3,2.56984229385853,2.56647183792666,2.57658606069162
"MetRef","MetRef","fastEmbedR_umap_cpu_binary_full","fastEmbedR binary [CPU]","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,0.853,0.8305,0.855
"MetRef","MetRef","fastEmbedR_umap_cpu_fuzzy_full","fastEmbedR fuzzy [CPU]","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,0.599,0.585,0.615
"MetRef","MetRef","python_umap_learn","Python umap-learn via R (total call) [CPU]","UMAP","cpu","cpu4","R/reticulate","r_mediated_total_call","r_mediated_total_call_sec",3,15.081,14.6945,15.102
"MetRef","MetRef","python_umap_learn_direct","Python umap-learn direct (fit only) [CPU]","UMAP","cpu","cpu4","direct Python","direct_python_fit","direct_python_fit_sec",3,12.4954642071389,12.3284325001296,12.7064031065674
"MetRef","MetRef","umap_package","umap [CPU]","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,3.188,3.1685,3.349
"MetRef","MetRef","uwot_default","uwot default [CPU]","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,1.918,1.9065,1.955
"MetRef","MetRef","uwot_fast_sgd","uwot fast SGD [CPU]","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,1.61,1.5985,1.613
"MetRef","MetRef","fastEmbedR_umap_cuda_binary_full","fastEmbedR binary [CUDA]","UMAP","cuda","cuda","R public function","full_pipeline","r_public_function_total_call_sec",3,0.567,0.56,0.567
"MetRef","MetRef","fastEmbedR_umap_cuda_fuzzy_full","fastEmbedR fuzzy [CUDA]","UMAP","cuda","cuda","R public function","full_pipeline","r_public_function_total_call_sec",3,0.544,0.542,0.5545
"MetRef","MetRef","rapids_cuml_umap_full","RAPIDS cuML UMAP via R (total call) [CUDA]","UMAP","cuda","cuda","R/reticulate","r_mediated_total_call","r_mediated_total_call_sec",3,3.009,3.007,3.014
"MetRef","MetRef","rapids_cuml_umap_full_direct","RAPIDS cuML UMAP direct (fit only) [CUDA]","UMAP","cuda","cuda","direct Python","direct_python_fit","direct_python_fit_sec",3,1.79930601175874,1.79632379487157,1.7995433663018
"Macosko2015_retina","Retina","fastEmbedR_umap_cpu_binary_full","fastEmbedR binary [CPU]","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,32.805,32.7705,32.903
"Macosko2015_retina","Retina","fastEmbedR_umap_cpu_fuzzy_full","fastEmbedR fuzzy [CPU]","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,10.07,10.0505,10.084
"Macosko2015_retina","Retina","python_umap_learn","Python umap-learn via R (total call) [CPU]","UMAP","cpu","cpu4","R/reticulate","r_mediated_total_call","r_mediated_total_call_sec",3,50.987,50.5515,51.574
"Macosko2015_retina","Retina","python_umap_learn_direct","Python umap-learn direct (fit only) [CPU]","UMAP","cpu","cpu4","direct Python","direct_python_fit","direct_python_fit_sec",3,49.5112347989343,49.3873907953966,49.5538525304291
"Macosko2015_retina","Retina","umap_package","umap [CPU]","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,363.6,359.0475,366.193
"Macosko2015_retina","Retina","uwot_default","uwot default [CPU]","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,25.561,25.5325,25.71
"Macosko2015_retina","Retina","uwot_fast_sgd","uwot fast SGD [CPU]","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,12.583,12.498,12.599
"Macosko2015_retina","Retina","fastEmbedR_umap_cuda_binary_full","fastEmbedR binary [CUDA]","UMAP","cuda","cuda","R public function","full_pipeline","r_public_function_total_call_sec",3,0.672,0.6675,0.673
"Macosko2015_retina","Retina","fastEmbedR_umap_cuda_fuzzy_full","fastEmbedR fuzzy [CUDA]","UMAP","cuda","cuda","R public function","full_pipeline","r_public_function_total_call_sec",3,0.611,0.607,0.634
"Macosko2015_retina","Retina","rapids_cuml_umap_full","RAPIDS cuML UMAP via R (total call) [CUDA]","UMAP","cuda","cuda","R/reticulate","r_mediated_total_call","r_mediated_total_call_sec",3,3.157,3.151,3.2065
"Macosko2015_retina","Retina","rapids_cuml_umap_full_direct","RAPIDS cuML UMAP direct (fit only) [CUDA]","UMAP","cuda","cuda","direct Python","direct_python_fit","direct_python_fit_sec",3,1.93199953064322,1.92589293187484,1.94116666447371
"TabulaMuris","Tabula Muris","fastEmbedR_umap_cpu_binary_full","fastEmbedR binary [CPU]","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,65.458,65.245,65.517
"TabulaMuris","Tabula Muris","fastEmbedR_umap_cpu_fuzzy_full","fastEmbedR fuzzy [CPU]","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,20.359,20.2555,20.4665
"TabulaMuris","Tabula Muris","python_umap_learn","Python umap-learn via R (total call) [CPU]","UMAP","cpu","cpu4","R/reticulate","r_mediated_total_call","r_mediated_total_call_sec",3,90.442,88.7825,93.868
"TabulaMuris","Tabula Muris","python_umap_learn_direct","Python umap-learn direct (fit only) [CPU]","UMAP","cpu","cpu4","direct Python","direct_python_fit","direct_python_fit_sec",3,85.8204787860159,85.7404421430547,87.7716002280359
"TabulaMuris","Tabula Muris","umap_package","umap [CPU]","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,734.107,733.2665,737.0085
